Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR
40,Uttarakhand,Nainital,2014,Rabi,Wheat,2096.93,24.0,56.4,Black,Rain-fed,406.66,50.97,2737.28,6.56,54393.01,304868.0
41,Uttarakhand,Nainital,2014,Rabi,Barley,1274.16,25.8,71.8,Sandy,Sprinkler,369.26,44.83,4218.48,7.91,63978.26,445172.99999999994
42,Uttarakhand,Nainital,2014,Rabi,Wheat,551.11,26.6,82.7,Laterite,Rain-fed,122.69,19.31,1704.03,4.52,29887.53,129369.0
43,Uttarakhand,Nainital,2014,Kharif,Rice,1246.55,33.0,37.9,Black,Canal,430.77,17.33,436.23,8.19,14133.68,29689.999999999996
44,Uttarakhand,Nainital,2014,Zaid,Maize,829.38,27.5,41.3,Alluvial,Drip,429.1,30.58,1355.59,3.89,44112.31,93006.0
45,Uttarakhand,Nainital,2014,Zaid,Cotton,594.58,18.5,52.2,Black,Canal,320.94,57.7,2043.61,6.42,16027.81,195568.0
46,Uttarakhand,Nainital,2014,Rabi,Cotton,1930.53,30.0,41.7,Alluvial,Tube Well,443.54,48.04,1801.3,4.33,31640.26,101860.0
47,Uttarakhand,Nainital,2014,Zaid,Millets,589.97,37.2,70.0,Laterite,Tube Well,381.48,43.9,2233.89,6.56,63170.11,156813.0
48,Uttarakhand,Nainital,2014,Zaid,Barley,1886.32,29.8,52.7,Laterite,Rain-fed,148.2,56.4,1466.75,4.49,51775.24,90214.0
49,Uttarakhand,Nainital,2014,Zaid,Wheat,1289.75,24.5,61.8,Black,Canal,191.93,19.21,1470.33,5.55,58645.69,110636.99999999999
50,Uttarakhand,Nainital,2014,Zaid,Sugarcane,1696.13,27.8,76.7,Black,Rain-fed,326.24,40.52,2505.02,6.99,16931.83,178882.0
51,Uttarakhand,Nainital,2014,Kharif,Pulses,1251.87,28.6,58.4,Red,Canal,348.37,23.19,3543.99,3.18,25324.39,103757.0
52,Uttarakhand,Nainital,2014,Rabi,Maize,744.77,32.8,50.2,Black,Rain-fed,285.83,46.81,3024.27,8.36,56129.3,277163.0
53,Uttarakhand,Nainital,2014,Kharif,Wheat,1674.43,20.5,37.5,Sandy,Rain-fed,71.81,21.07,4726.04,5.86,51897.99,249967.99999999997
54,Uttarakhand,Nainital,2014,Zaid,Millets,1261.69,24.8,88.1,Alluvial,Drip,150.99,52.39,659.03,1.68,38062.57,15246.0
55,Uttarakhand,Almora,2014,Rabi,Maize,1860.06,37.0,39.7,Laterite,Tube Well,149.28,35.69,2139.25,5.55,44776.17,187080.0
56,Uttarakhand,Almora,2014,Zaid,Cotton,1948.3,37.8,51.8,Alluvial,Drip,298.41,38.53,3726.44,8.12,23012.76,305923.0
57,Uttarakhand,Almora,2014,Rabi,Sugarcane,712.86,19.5,35.1,Alluvial,Drip,230.2,37.66,1527.17,2.89,49468.66,66335.0
58,Uttarakhand,Almora,2014,Kharif,Cotton,1818.09,30.5,71.4,Alluvial,Drip,423.47,28.38,2768.36,5.93,60145.81,267034.0
59,Uttarakhand,Almora,2014,Rabi,Cotton,1471.08,34.5,85.7,Alluvial,Sprinkler,225.66,30.78,1590.05,4.14,26429.05,88208.0
60,Uttarakhand,Almora,2014,Zaid,Wheat,2000.96,32.7,68.2,Red,Sprinkler,60.35,17.59,3404.06,7.48,43117.52,208981.0
61,Uttarakhand,Almora,2014,Rabi,Wheat,1773.6,21.5,63.5,Red,Tube Well,226.89,20.3,4985.03,4.38,55154.98,386263.0
62,Uttarakhand,Almora,2014,Kharif,Pulses,977.9,20.1,43.8,Red,Rain-fed,214.66,32.25,3346.66,4.12,52306.49,115366.00000000001
63,Uttarakhand,Almora,2014,Zaid,Pulses,608.66,33.5,82.6,Laterite,Tube Well,379.97,5.06,4359.9,4.57,14872.82,262696.0
64,Uttarakhand,Almora,2014,Kharif,Wheat,766.4,29.0,86.0,Red,Sprinkler,225.25,43.4,694.99,8.3,44270.2,59951.0
65,Uttarakhand,Almora,2014,Zaid,Wheat,1394.05,19.9,89.6,Red,Tube Well,415.17,30.38,675.58,7.27,38413.9,74487.0
66,Uttarakhand,Almora,2014,Rabi,Millets,2164.44,22.9,65.3,Red,Sprinkler,203.43,55.7,2590.38,7.62,57793.43,212437.0
67,Uttarakhand,Almora,2014,Zaid,Cotton,1876.99,23.7,51.4,Sandy,Tube Well,284.78,59.94,2499.24,2.28,40544.77,65252.0
68,Uttarakhand,Almora,2014,Rabi,Millets,2079.13,35.4,88.9,Laterite,Drip,145.52,26.06,4294.46,4.2,28863.35,229603.00000000003
69,Uttarakhand,Almora,2014,Kharif,Millets,2136.68,20.5,88.1,Laterite,Drip,182.8,10.52,4240.69,1.93,60253.41,66732.0
70,Uttarakhand,Almora,2014,Rabi,Rice,1245.08,37.4,53.6,Laterite,Sprinkler,327.08,40.74,4273.65,7.42,57545.14,374187.0
71,Uttarakhand,Almora,2014,Kharif,Wheat,1511.43,22.7,72.6,Laterite,Drip,164.95,17.51,542.86,8.34,52299.59,68088.0
72,Uttarakhand,Almora,2014,Kharif,Cotton,2026.16,18.9,78.8,Black,Canal,167.35,25.62,813.29,5.08,41994.19,65795.0
73,Uttarakhand,Pauri,2014,Rabi,Barley,1515.48,22.8,85.2,Sandy,Drip,107.25,30.36,1344.49,3.06,12498.06,66017.0
74,Uttarakhand,Pauri,2014,Rabi,Rice,1195.11,24.9,67.3,Alluvial,Drip,305.58,28.34,1325.48,7.37,22558.5,115730.0
75,Uttarakhand,Pauri,2014,Zaid,Barley,1429.46,29.5,89.6,Alluvial,Sprinkler,168.09,58.79,3325.33,3.2,41994.24,158105.0
76,Uttarakhand,Pauri,2014,Zaid,Millets,1899.11,36.1,77.7,Black,Canal,142.05,49.11,1173.12,2.59,25283.22,47264.0
77,Uttarakhand,Pauri,2014,Zaid,Wheat,956.08,26.8,66.9,Red,Sprinkler,342.94,9.96,1546.04,6.66,21308.92,95981.0
78,Uttarakhand,Pauri,2014,Kharif,Cotton,1894.85,23.1,80.4,Black,Tube Well,242.74,49.36,3758.14,3.67,18103.99,243144.99999999997
79,Uttarakhand,Pauri,2014,Rabi,Pulses,562.55,25.9,49.5,Alluvial,Drip,99.44,25.27,3770.16,3.11,32194.35,168673.0
80,Uttarakhand,Pauri,2014,Rabi,Millets,445.04,35.7,65.9,Alluvial,Drip,416.1,17.18,409.76,7.21,60197.54,32563.0
81,Uttarakhand,Pauri,2014,Zaid,Wheat,2103.27,24.1,62.1,Laterite,Sprinkler,88.88,53.8,764.75,4.51,47535.77,53223.0
82,Uttarakhand,Pauri,2014,Kharif,Maize,1993.74,31.1,80.9,Red,Canal,296.26,56.65,1470.73,6.24,23515.29,114230.0
83,Uttarakhand,Pauri,2014,Zaid,Pulses,1380.04,37.6,54.7,Sandy,Canal,209.26,15.44,698.58,7.39,36100.02,75516.0
84,Uttarakhand,Pauri,2014,Rabi,Wheat,1816.23,22.9,41.9,Black,Sprinkler,275.83,8.77,3849.27,2.71,23445.42,174175.0
85,Uttarakhand,Pauri,2014,Kharif,Wheat,899.09,37.7,89.3,Sandy,Rain-fed,266.09,48.92,638.64,7.53,18985.57,55699.0
86,Uttarakhand,Pauri,2014,Zaid,Wheat,713.64,19.0,75.8,Black,Sprinkler,260.43,46.01,2433.61,6.88,39201.61,152205.0
87,Uttarakhand,Pauri,2014,Kharif,Wheat,1709.04,36.2,71.2,Laterite,Tube Well,170.65,40.38,252.64,8.49,56906.82,26302.999999999996
88,Uttarakhand,Pauri,2014,Rabi,Rice,2018.68,24.4,43.2,Laterite,Sprinkler,100.48,39.34,2968.29,6.4,32187.93,265463.0
89,Uttarakhand,Pauri,2014,Rabi,Barley,578.52,32.0,81.9,Laterite,Tube Well,310.37,47.29,3632.12,2.77,35932.41,103476.0
90,Uttarakhand,Pauri,2014,Rabi,Barley,1713.3,24.3,52.2,Alluvial,Rain-fed,151.96,57.45,3465.42,4.66,16834.91,142976.0
91,Uttar Pradesh,Lucknow,2014,Zaid,Maize,1401.47,29.7,65.9,Alluvial,Rain-fed,181.86,11.72,1832.63,6.06,51765.07,185254.0
92,Uttar Pradesh,Lucknow,2014,Zaid,Cotton,1032.96,29.6,46.7,Black,Tube Well,312.69,17.33,630.27,7.37,31480.74,72584.0
93,Uttar Pradesh,Lucknow,2014,Kharif,Wheat,1496.19,31.2,73.1,Sandy,Tube Well,61.58,20.03,3835.81,7.93,30604.24,298524.0
94,Uttar Pradesh,Lucknow,2014,Zaid,Rice,655.37,30.7,36.7,Sandy,Canal,348.44,16.83,2157.18,3.69,31612.81,121119.0
95,Uttar Pradesh,Lucknow,2014,Zaid,Wheat,680.04,33.1,37.7,Alluvial,Rain-fed,82.63,29.37,2177.67,5.63,33951.74,124511.99999999999
96,Uttar Pradesh,Lucknow,2014,Kharif,Barley,599.6,31.6,67.6,Black,Rain-fed,260.77,21.96,1180.54,8.39,14903.44,99485.0
97,Uttar Pradesh,Lucknow,2014,Kharif,Cotton,990.62,18.2,76.1,Laterite,Canal,120.28,25.91,3547.99,4.85,56167.77,276391.0
98,Uttar Pradesh,Lucknow,2014,Rabi,Barley,433.73,36.4,82.4,Black,Sprinkler,280.3,36.54,3576.54,4.25,18104.19,124773.0
99,Uttar Pradesh,Lucknow,2014,Rabi,Millets,1897.65,36.4,39.8,Black,Rain-fed,387.79,18.38,2985.47,5.02,32975.63,166398.0
100,Uttar Pradesh,Lucknow,2014,Kharif,Maize,537.48,30.7,64.2,Black,Rain-fed,127.56,47.69,1820.39,8.2,46208.48,141464.0
101,Uttar Pradesh,Lucknow,2014,Zaid,Sugarcane,712.3,21.1,76.8,Sandy,Sprinkler,80.14,57.32,3176.95,4.59,41877.98,201157.0
102,Uttar Pradesh,Lucknow,2014,Rabi,Pulses,1955.64,30.5,43.3,Laterite,Tube Well,77.31,29.32,1583.82,3.21,14977.12,66466.0
103,Uttar Pradesh,Lucknow,2014,Zaid,Wheat,502.4,34.6,39.2,Alluvial,Tube Well,395.7,52.04,3113.54,4.9,36523.72,206619.0
104,Uttar Pradesh,Lucknow,2014,Kharif,Sugarcane,978.75,27.5,43.3,Alluvial,Drip,74.75,10.69,4505.72,3.71,49858.72,218071.0
105,Uttar Pradesh,Lucknow,2014,Zaid,Millets,2183.77,28.5,68.5,Red,Canal,195.56,55.49,1998.34,6.85,47981.58,116677.0
106,Uttar Pradesh,Lucknow,2014,Kharif,Pulses,570.11,31.6,50.6,Red,Rain-fed,339.49,41.11,4541.08,7.57,29668.19,475330.0
107,Uttar Pradesh,Lucknow,2014,Zaid,Barley,632.11,32.2,39.7,Sandy,Canal,273.57,40.39,1709.54,2.13,49250.04,63617.99999999999
108,Uttar Pradesh,Lucknow,2014,Rabi,Barley,1315.28,18.4,52.0,Alluvial,Sprinkler,430.47,23.8,3854.17,2.6,64998.76,95694.0
109,Uttar Pradesh,Kanpur,2014,Zaid,Wheat,1591.47,35.5,69.0,Laterite,Canal,288.9,13.48,986.15,6.26,45111.25,105109.99999999999
110,Uttar Pradesh,Kanpur,2014,Rabi,Barley,1055.74,32.4,88.3,Black,Rain-fed,294.24,46.38,3940.62,2.91,24675.93,202465.0
111,Uttar Pradesh,Kanpur,2014,Zaid,Millets,1231.02,23.6,56.0,Laterite,Rain-fed,260.98,58.14,4102.77,7.05,19335.12,303708.0
112,Uttar Pradesh,Kanpur,2014,Kharif,Rice,1680.52,28.3,41.9,Laterite,Rain-fed,83.55,13.82,2301.66,4.95,56045.48,101595.0
113,Uttar Pradesh,Kanpur,2014,Rabi,Wheat,1146.81,25.9,55.6,Black,Drip,204.47,9.49,1200.24,3.53,17251.41,64176.0
114,Uttar Pradesh,Kanpur,2014,Kharif,Wheat,916.38,34.6,73.3,Sandy,Sprinkler,105.52,43.8,2298.15,1.24,16198.97,30091.000000000004
115,Uttar Pradesh,Kanpur,2014,Zaid,Barley,600.14,23.8,51.6,Sandy,Canal,69.1,28.09,3990.11,4.54,17875.47,308889.0
116,Uttar Pradesh,Kanpur,2014,Zaid,Sugarcane,1693.38,23.8,35.1,Sandy,Sprinkler,191.13,36.39,1017.84,6.08,39744.68,71824.0
117,Uttar Pradesh,Kanpur,2014,Zaid,Wheat,1102.82,27.4,70.0,Alluvial,Sprinkler,442.42,18.95,179.59,6.96,30274.53,19161.0
118,Uttar Pradesh,Kanpur,2014,Kharif,Pulses,640.14,25.0,53.6,Alluvial,Tube Well,307.12,50.67,3454.94,8.36,37362.15,283714.0
119,Uttar Pradesh,Kanpur,2014,Zaid,Wheat,928.2,18.9,46.0,Black,Rain-fed,66.76,56.34,2625.38,8.42,40780.63,232842.0
120,Uttar Pradesh,Kanpur,2014,Rabi,Pulses,1951.85,19.0,71.1,Black,Tube Well,159.29,48.96,2241.06,4.12,35306.04,162179.0
121,Uttar Pradesh,Kanpur,2014,Kharif,Millets,1061.22,33.9,49.7,Alluvial,Rain-fed,83.04,28.35,2209.98,8.46,21564.19,204495.0
122,Uttar Pradesh,Kanpur,2014,Rabi,Cotton,951.69,30.1,58.4,Alluvial,Canal,325.91,24.34,307.54,7.55,30685.64,41752.0
123,Uttar Pradesh,Kanpur,2014,Zaid,Barley,1053.96,34.0,72.4,Red,Rain-fed,431.12,12.85,3077.11,6.9,13844.35,184131.0
124,Uttar Pradesh,Kanpur,2014,Rabi,Barley,2109.04,18.6,43.4,Red,Drip,229.97,25.4,2275.3,1.76,19297.84,46731.0
125,Uttar Pradesh,Kanpur,2014,Zaid,Rice,446.64,21.7,63.5,Laterite,Drip,415.42,11.48,3897.33,6.34,23372.23,348862.0
126,Uttar Pradesh,Kanpur,2014,Zaid,Rice,644.31,19.5,44.5,Alluvial,Sprinkler,335.35,59.85,4071.51,8.26,64288.46,493643.99999999994
127,Uttar Pradesh,Varanasi,2014,Kharif,Cotton,2004.4,35.0,74.1,Black,Tube Well,420.93,40.07,3989.11,4.91,18432.21,196057.0
128,Uttar Pradesh,Varanasi,2014,Rabi,Wheat,1049.61,29.4,60.7,Sandy,Tube Well,443.2,12.14,4432.81,1.68,33102.48,112968.0
129,Uttar Pradesh,Varanasi,2014,Zaid,Barley,1882.01,19.5,88.5,Sandy,Drip,306.94,29.75,3432.53,3.71,58531.89,201242.0
130,Uttar Pradesh,Varanasi,2014,Zaid,Maize,1178.71,36.2,38.0,Red,Canal,99.66,13.42,906.82,3.56,49594.6,36997.0
131,Uttar Pradesh,Varanasi,2014,Kharif,Cotton,753.34,37.1,50.1,Sandy,Sprinkler,300.01,38.79,557.8,5.88,43365.85,45283.0
132,Uttar Pradesh,Varanasi,2014,Rabi,Pulses,1916.55,29.3,80.4,Sandy,Canal,61.35,7.5,3243.12,5.41,46509.89,274927.0
133,Uttar Pradesh,Varanasi,2014,Kharif,Millets,2000.19,28.9,70.3,Laterite,Tube Well,170.84,18.47,4056.01,4.16,36037.84,251173.99999999997
134,Uttar Pradesh,Varanasi,2014,Zaid,Millets,1236.0,24.8,42.9,Sandy,Canal,394.59,22.56,4941.31,3.72,33131.98,286876.0
135,Uttar Pradesh,Varanasi,2014,Kharif,Pulses,835.13,20.5,59.7,Red,Sprinkler,106.35,7.78,4732.39,7.51,34161.14,626463.0
136,Uttar Pradesh,Varanasi,2014,Kharif,Pulses,741.7,21.2,89.8,Black,Sprinkler,236.73,53.35,2537.11,1.86,32841.84,59329.0
137,Uttar Pradesh,Varanasi,2014,Rabi,Pulses,487.58,23.6,67.9,Red,Tube Well,387.14,41.99,1500.17,1.26,17697.35,17653.0
138,Uttar Pradesh,Varanasi,2014,Zaid,Pulses,481.44,19.0,65.9,Sandy,Canal,195.01,20.87,1993.11,4.49,41142.43,145450.0
139,Uttar Pradesh,Varanasi,2014,Kharif,Maize,2155.15,25.9,78.7,Alluvial,Drip,185.63,56.64,3799.33,2.65,38983.49,130895.0
140,Uttar Pradesh,Varanasi,2014,Rabi,Pulses,1847.14,28.4,43.2,Sandy,Rain-fed,407.25,12.69,4663.71,3.53,32826.59,233196.99999999997
141,Uttar Pradesh,Varanasi,2014,Zaid,Millets,1675.73,24.0,79.9,Alluvial,Sprinkler,197.34,42.06,4901.5,5.46,54228.01,408210.0
142,Uttar Pradesh,Varanasi,2014,Rabi,Millets,877.95,31.1,88.5,Black,Drip,281.39,17.51,351.64,4.71,39784.31,25194.0
143,Uttar Pradesh,Varanasi,2014,Rabi,Wheat,1430.63,32.0,45.5,Alluvial,Drip,226.42,28.03,2123.5,2.69,38596.43,80627.0
144,Uttar Pradesh,Varanasi,2014,Zaid,Sugarcane,1409.6,38.0,61.3,Red,Sprinkler,200.73,57.62,2352.35,5.09,40952.48,176713.0
145,Uttar Pradesh,Agra,2014,Rabi,Millets,746.08,22.9,65.7,Laterite,Rain-fed,139.95,58.51,1558.31,3.31,22985.72,77627.0
146,Uttar Pradesh,Agra,2014,Zaid,Cotton,918.02,29.5,64.9,Alluvial,Rain-fed,408.3,26.7,1791.16,6.84,19763.23,103166.00000000001
147,Uttar Pradesh,Agra,2014,Kharif,Millets,1580.75,32.9,46.8,Black,Canal,381.18,19.91,2853.89,3.18,17789.01,139842.0
148,Uttar Pradesh,Agra,2014,Rabi,Sugarcane,1548.3,19.0,57.7,Laterite,Tube Well,336.94,10.53,3876.75,1.24,41168.69,83121.0
149,Uttar Pradesh,Agra,2014,Kharif,Sugarcane,1760.64,23.7,50.7,Black,Tube Well,73.67,47.28,3296.26,2.9,51150.39,157758.0
150,Uttar Pradesh,Agra,2014,Rabi,Maize,2081.06,18.7,81.0,Sandy,Sprinkler,365.18,15.25,3770.12,7.57,27341.75,239011.0
151,Uttar Pradesh,Agra,2014,Kharif,Rice,2071.22,24.7,60.0,Red,Drip,306.52,33.84,4457.37,2.18,38723.27,104248.0
152,Uttar Pradesh,Agra,2014,Rabi,Millets,1566.91,32.4,35.8,Laterite,Sprinkler,184.84,21.23,3404.57,2.61,44380.59,127844.0
153,Uttar Pradesh,Agra,2014,Rabi,Pulses,556.13,31.4,45.2,Red,Sprinkler,106.24,22.8,1315.43,3.1,24482.63,63360.0
154,Uttar Pradesh,Agra,2014,Rabi,Wheat,870.8,25.2,48.0,Alluvial,Rain-fed,317.11,30.6,882.61,6.21,60924.62,92509.0
155,Uttar Pradesh,Agra,2014,Zaid,Pulses,1506.33,22.4,42.3,Black,Drip,111.27,46.13,3068.12,4.24,41109.43,165320.0
156,Uttar Pradesh,Agra,2014,Kharif,Rice,1345.91,28.6,54.9,Red,Sprinkler,416.9,11.17,4160.99,7.79,22714.31,433267.0
157,Uttar Pradesh,Agra,2014,Kharif,Millets,609.23,22.1,67.1,Sandy,Tube Well,86.38,33.07,4062.59,4.51,39202.14,230273.99999999997
158,Uttar Pradesh,Agra,2014,Kharif,Cotton,1701.9,25.9,79.9,Laterite,Canal,348.32,36.81,321.92,3.72,15379.28,21485.0
159,Uttar Pradesh,Agra,2014,Rabi,Cotton,1135.96,33.4,77.1,Laterite,Canal,441.33,40.52,2159.77,8.45,32271.42,304707.0
160,Uttar Pradesh,Agra,2014,Rabi,Maize,1576.36,25.0,44.8,Laterite,Sprinkler,264.9,34.09,3666.5,2.83,12184.08,85369.0
161,Uttar Pradesh,Agra,2014,Rabi,Barley,1357.48,34.5,48.6,Sandy,Canal,188.46,20.16,4693.31,6.49,17980.77,490239.99999999994
162,Uttar Pradesh,Agra,2014,Kharif,Sugarcane,770.95,20.0,36.8,Alluvial,Drip,289.11,43.68,338.51,6.61,33320.06,23144.0
163,Uttar Pradesh,Meerut,2014,Zaid,Cotton,821.49,36.3,66.7,Black,Tube Well,280.99,47.49,4110.07,2.93,58441.69,215042.0
164,Uttar Pradesh,Meerut,2014,Zaid,Cotton,895.28,29.1,67.5,Laterite,Sprinkler,344.08,14.63,3425.88,5.26,14484.86,206225.0
165,Uttar Pradesh,Meerut,2014,Rabi,Pulses,1653.36,26.2,51.5,Alluvial,Sprinkler,123.55,34.59,1280.74,2.85,57449.69,34470.0
166,Uttar Pradesh,Meerut,2014,Zaid,Barley,2142.02,29.1,42.4,Black,Canal,147.14,16.18,3268.86,7.93,56898.07,231344.99999999997
167,Uttar Pradesh,Meerut,2014,Rabi,Cotton,1078.9,30.1,37.2,Red,Canal,79.11,49.26,2979.16,6.1,23501.88,183344.0
168,Uttar Pradesh,Meerut,2014,Zaid,Sugarcane,2086.89,37.2,41.5,Red,Rain-fed,449.83,31.34,1288.71,5.61,22839.2,123998.0
169,Uttar Pradesh,Meerut,2014,Rabi,Barley,1239.25,31.0,52.0,Black,Rain-fed,193.86,53.55,2383.42,7.06,50287.92,262774.0
170,Uttar Pradesh,Meerut,2014,Rabi,Pulses,1145.07,29.3,47.2,Black,Tube Well,108.37,19.34,4680.32,5.43,34131.64,242046.99999999997
171,Uttar Pradesh,Meerut,2014,Rabi,Sugarcane,1298.74,31.1,72.7,Black,Drip,152.93,50.19,4835.89,5.88,38001.57,275318.0
172,Uttar Pradesh,Meerut,2014,Kharif,Millets,731.29,35.8,89.5,Laterite,Drip,432.89,33.82,4211.44,1.74,55353.78,62178.0
173,Uttar Pradesh,Meerut,2014,Kharif,Sugarcane,522.34,21.0,47.0,Alluvial,Sprinkler,232.4,8.32,3224.87,8.02,60375.83,377421.0
