student_id,age,gender,city,state,university,course,branch,year_of_study,attendance_percentage,cgpa,study_hours_per_day,revision_frequency,online_courses,group_study,sleep_hours,screen_time_hours,physical_activity,part_time_job,exam_stress_level,motivation_level,parental_support,performance_category
17,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,73.0,8.7,1.2,Daily,Yes,Yes,7.1,3.9,Low,Yes,6,4,Medium,Excellent
18,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,74.8,8.7,4.7,Daily,No,Yes,5.8,6.5,High,No,8,3,Low,Excellent
19,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,85.8,8.8,1.6,Weekly,Yes,Yes,5.7,7.0,Medium,Yes,6,7,High,Excellent
20,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,2,80.3,9.3,3.9,Daily,Yes,No,6.3,9.7,High,No,6,4,Low,Excellent
21,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,1,85.9,10.0,5.2,Weekly,Yes,Yes,6.2,7.9,High,No,6,8,Low,Excellent
22,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,70.5,9.2,2.2,Daily,Yes,No,6.2,5.8,High,Yes,6,7,Medium,Excellent
23,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,92.5,9.2,3.1,Daily,Yes,Yes,9.0,7.3,Low,No,4,4,Medium,Excellent
24,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,85.1,10.0,4.2,Daily,Yes,Yes,6.9,4.3,Medium,No,2,5,Low,Excellent
25,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,65.5,8.8,3.8,Daily,Yes,No,7.4,4.2,Medium,No,6,6,Medium,Excellent
26,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,83.6,10.0,5.1,Daily,No,No,8.1,3.2,High,No,4,7,Low,Excellent
27,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,100.0,9.7,4.4,Weekly,Yes,No,8.1,7.9,High,No,7,5,Medium,Excellent
28,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,75.6,8.3,2.8,Rare,Yes,No,7.1,10.6,Low,No,2,7,High,Good
29,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,88.9,9.7,3.6,Weekly,No,Yes,5.9,4.6,High,No,7,5,Medium,Excellent
30,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,1,71.5,10.0,6.7,Rare,Yes,Yes,7.6,1.9,Low,No,6,5,High,Excellent
31,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,4,76.9,9.6,4.3,Daily,Yes,Yes,7.9,3.6,Medium,No,5,5,Low,Excellent
32,22,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,82.0,6.0,1.6,Weekly,Yes,No,7.9,10.2,Low,Yes,8,3,Low,Average
33,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,2,70.9,8.1,4.2,Daily,Yes,Yes,7.8,4.1,Low,No,5,1,Medium,Good
34,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,65.5,9.9,5.9,Weekly,Yes,No,5.6,5.1,High,No,6,9,Low,Excellent
35,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,3,78.1,8.2,2.0,Weekly,Yes,Yes,7.5,6.4,Low,Yes,4,6,Medium,Good
36,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,3,84.6,10.0,5.9,Daily,No,Yes,5.8,10.3,High,Yes,2,6,Low,Excellent
37,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,71.8,8.5,3.2,Weekly,No,No,6.5,4.8,Medium,No,7,7,Medium,Excellent
38,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,81.1,10.0,4.7,Daily,Yes,No,7.6,4.3,High,No,4,7,High,Excellent
39,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,79.2,10.0,5.4,Weekly,No,No,6.4,7.1,Medium,No,5,6,Low,Excellent
40,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,86.1,10.0,5.5,Daily,Yes,No,7.0,7.4,Medium,Yes,5,7,Medium,Excellent
41,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,84.0,10.0,2.3,Daily,No,Yes,9.0,4.0,Low,No,3,8,Medium,Excellent
42,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,84.3,10.0,3.5,Daily,Yes,Yes,6.1,6.2,Low,Yes,4,8,Medium,Excellent
43,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,4,74.8,9.0,4.1,Weekly,Yes,No,6.4,4.4,Low,No,6,6,Medium,Excellent
44,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,4,80.3,9.6,1.3,Rare,No,Yes,5.6,4.6,High,No,5,7,Low,Excellent
45,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,76.4,8.5,3.5,Rare,No,No,6.0,6.0,Medium,No,5,7,Medium,Excellent
46,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,3,93.3,9.5,3.3,Weekly,Yes,No,7.4,7.4,Medium,No,5,6,Low,Excellent
47,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,70.3,8.8,3.5,Daily,Yes,Yes,7.5,8.9,Medium,Yes,7,10,Medium,Excellent
48,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,4,79.8,10.0,6.8,Weekly,Yes,No,6.2,4.3,High,No,4,2,Medium,Excellent
49,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,79.5,9.4,4.0,Daily,No,Yes,8.9,7.9,Medium,No,4,4,High,Excellent
50,18,Other,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,2,96.3,10.0,5.3,Weekly,No,Yes,6.5,2.6,Medium,Yes,8,6,High,Excellent
51,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,72.0,8.1,3.5,Weekly,No,No,7.0,5.1,High,Yes,7,4,Medium,Good
52,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,83.1,10.0,4.6,Daily,No,Yes,5.9,2.9,High,No,8,7,Medium,Excellent
53,22,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,2,79.2,9.1,5.3,Weekly,Yes,Yes,7.1,10.1,Low,No,9,6,High,Excellent
54,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,91.7,8.0,2.1,Weekly,Yes,Yes,7.7,8.1,Low,No,2,4,Low,Good
55,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,4,85.2,9.6,5.8,Daily,Yes,Yes,7.1,9.3,Medium,No,3,3,Medium,Excellent
56,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,3,77.7,7.6,0.5,Weekly,Yes,No,6.9,3.4,Medium,Yes,7,7,Medium,Good
57,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,67.4,8.3,3.4,Weekly,No,No,8.0,4.0,High,No,7,5,Medium,Good
58,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,67.6,7.8,2.7,Weekly,No,No,5.8,9.9,Medium,No,6,5,Medium,Good
59,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,75.8,8.1,4.4,Rare,No,Yes,7.8,4.9,Low,No,4,5,Low,Good
60,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,91.7,10.0,6.0,Weekly,No,No,6.8,7.2,Low,No,6,10,Low,Excellent
61,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,68.4,7.9,1.1,Weekly,No,No,7.2,4.5,Medium,No,3,5,Medium,Good
62,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,3,86.8,10.0,3.5,Weekly,Yes,Yes,8.5,6.2,Medium,Yes,4,9,Medium,Excellent
63,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,76.1,7.3,2.2,Daily,No,Yes,5.6,7.9,Medium,No,9,3,Low,Average
64,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,73.1,9.7,2.6,Daily,No,Yes,6.1,6.1,Medium,No,4,7,Medium,Excellent
65,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,68.9,8.7,2.6,Rare,Yes,Yes,7.8,7.0,Low,No,4,6,Medium,Excellent
66,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,3,83.4,10.0,2.5,Daily,No,Yes,7.6,4.5,Medium,No,2,3,High,Excellent
67,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,69.0,9.0,4.5,Weekly,Yes,Yes,5.3,5.9,Low,No,3,5,Low,Excellent
68,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,74.2,10.0,5.0,Weekly,No,No,6.4,7.7,Low,Yes,3,7,Medium,Excellent
69,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,2,70.0,8.9,4.4,Weekly,Yes,No,6.8,6.7,Low,Yes,4,6,Low,Excellent
70,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,80.5,9.5,4.0,Weekly,No,No,6.6,5.0,Medium,Yes,5,7,Medium,Excellent
71,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,98.8,8.8,4.8,Daily,No,No,6.7,8.4,Low,No,5,2,Low,Excellent
72,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,74.5,8.2,3.5,Weekly,Yes,No,8.7,6.7,Medium,No,5,8,Medium,Good
73,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,85.7,9.6,1.3,Weekly,No,No,8.1,6.7,Low,No,5,7,Low,Excellent
74,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,80.5,8.3,2.8,Weekly,Yes,No,6.2,7.7,Low,Yes,4,6,Low,Good
75,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,4,81.3,10.0,5.1,Daily,No,No,6.5,5.5,High,No,4,5,Low,Excellent
76,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,68.8,7.3,4.8,Weekly,Yes,Yes,8.4,6.8,Medium,No,9,4,Low,Average
77,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,93.0,10.0,4.5,Daily,Yes,No,6.9,6.6,Low,No,3,10,Medium,Excellent
78,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,4,85.3,10.0,4.2,Weekly,No,Yes,7.2,4.4,Medium,No,6,10,High,Excellent
79,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,4,72.9,7.3,2.0,Weekly,No,Yes,6.9,6.1,Low,Yes,8,3,Medium,Average
80,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,2,73.7,6.4,2.0,Weekly,No,No,5.3,7.6,Medium,No,6,3,Low,Average
81,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,94.7,8.5,3.1,Weekly,No,No,5.5,5.5,High,No,5,1,Medium,Excellent
82,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,85.0,10.0,6.3,Daily,No,Yes,8.1,5.5,Medium,No,3,10,Medium,Excellent
83,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,77.8,8.9,3.8,Rare,Yes,No,6.9,4.9,Low,No,4,6,Medium,Excellent
84,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,79.1,9.0,3.1,Rare,No,No,8.5,1.0,High,No,8,8,Medium,Excellent
85,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,74.3,8.4,1.4,Rare,Yes,Yes,6.2,3.8,Low,No,9,8,Medium,Good
86,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,2,66.7,7.9,2.7,Rare,Yes,No,7.5,3.6,Low,No,7,6,Medium,Good
87,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,82.4,9.1,3.0,Weekly,Yes,Yes,8.2,3.8,High,Yes,7,7,Medium,Excellent
88,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,65.5,8.2,4.9,Weekly,No,No,6.8,5.0,High,No,8,5,Medium,Good
89,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,84.1,7.7,1.6,Rare,No,No,8.8,1.8,Medium,No,9,6,Medium,Good
90,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,82.0,8.6,3.4,Weekly,No,No,8.1,6.2,High,Yes,6,5,Medium,Excellent
91,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,4,60.9,7.5,1.5,Rare,Yes,No,7.7,6.3,Low,Yes,5,6,Medium,Good
92,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,1,70.2,9.8,3.8,Weekly,No,No,6.0,6.8,Medium,Yes,2,8,Low,Excellent
93,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,87.8,10.0,6.0,Daily,No,No,8.0,2.3,Low,No,3,5,High,Excellent
94,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,70.7,8.5,3.8,Weekly,Yes,Yes,6.2,4.8,Low,No,3,4,Medium,Excellent
95,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,88.5,8.4,2.1,Daily,No,Yes,9.0,7.0,Medium,No,6,4,Medium,Good
96,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,79.2,10.0,7.3,Weekly,No,Yes,6.9,8.3,Medium,No,4,6,Medium,Excellent
97,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,96.1,8.3,4.6,Rare,No,No,6.4,7.3,Low,Yes,7,7,Medium,Good
98,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,75.5,10.0,3.4,Weekly,No,Yes,7.6,6.4,Medium,No,3,7,High,Excellent
99,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,88.8,10.0,4.8,Rare,No,Yes,7.5,5.9,Medium,No,2,7,High,Excellent
100,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,65.2,7.3,1.9,Rare,No,Yes,8.1,5.9,Medium,No,7,6,Medium,Average
101,21,Other,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,72.8,8.9,3.6,Weekly,Yes,Yes,6.5,5.1,Medium,No,5,6,Medium,Excellent
102,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,3,69.1,8.0,3.2,Weekly,Yes,No,6.6,8.9,Low,No,6,8,Low,Good
103,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,86.9,10.0,3.6,Daily,Yes,No,8.1,5.0,Low,No,8,10,Medium,Excellent
104,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,92.5,9.6,5.9,Weekly,Yes,No,6.5,5.2,Medium,No,5,3,Medium,Excellent
105,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,70.3,8.9,3.4,Rare,No,No,7.2,9.1,Low,No,4,8,High,Excellent
106,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,84.7,9.3,1.8,Rare,Yes,Yes,7.4,6.3,Low,No,6,7,Low,Excellent
107,19,Other,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,72.7,8.8,2.6,Weekly,No,No,6.4,4.7,Medium,Yes,8,9,High,Excellent
108,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,82.7,10.0,2.7,Daily,No,No,7.6,6.4,Medium,No,2,9,Medium,Excellent
109,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,74.1,7.3,3.9,Weekly,No,Yes,7.3,7.3,Low,Yes,10,6,Medium,Average
110,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,2,70.7,9.7,3.5,Weekly,No,Yes,8.8,5.0,High,No,6,6,High,Excellent
111,23,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,72.7,8.5,2.8,Daily,Yes,Yes,8.0,7.4,Low,No,9,7,Low,Excellent
112,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,1,89.1,9.9,4.7,Weekly,No,Yes,7.5,8.1,Medium,No,8,9,Medium,Excellent
113,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,79.5,10.0,5.3,Daily,Yes,Yes,6.2,6.7,Medium,No,5,6,Low,Excellent
114,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,78.5,7.4,1.5,Daily,No,No,7.7,7.3,Medium,No,10,5,Medium,Average
115,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,1,93.8,8.7,3.4,Weekly,Yes,Yes,7.3,7.2,Medium,Yes,6,5,Medium,Excellent
116,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,67.7,9.1,3.7,Daily,No,Yes,6.3,8.4,Medium,Yes,2,5,Medium,Excellent
117,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,77.3,9.7,2.7,Weekly,Yes,Yes,8.9,3.1,Low,No,1,7,Low,Excellent
118,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,1,85.1,9.6,3.9,Weekly,Yes,Yes,6.4,3.4,Medium,No,7,7,Medium,Excellent
119,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,1,67.3,7.9,1.2,Weekly,No,Yes,6.3,5.9,Low,No,6,6,Medium,Good
120,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,4,92.4,10.0,3.4,Weekly,No,Yes,8.1,6.7,Medium,No,6,7,High,Excellent
121,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,91.3,9.9,3.8,Daily,No,Yes,7.7,5.8,Medium,No,8,5,Medium,Excellent
122,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,63.7,8.6,3.7,Daily,Yes,No,6.3,7.7,High,No,4,5,Medium,Excellent
123,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,53.8,7.2,1.1,Daily,Yes,Yes,7.8,7.6,High,Yes,6,4,Medium,Average
124,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,3,66.4,8.3,5.8,Weekly,Yes,No,7.9,5.6,Medium,Yes,6,6,Medium,Good
125,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,71.2,8.1,2.0,Daily,No,Yes,6.7,9.6,High,Yes,7,5,Low,Good
126,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,4,87.2,9.7,3.6,Weekly,Yes,No,6.4,7.4,Medium,No,6,8,Low,Excellent
127,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,72.6,9.6,5.5,Rare,No,Yes,7.2,10.2,Low,No,4,9,Low,Excellent
128,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,73.2,9.3,3.0,Rare,No,No,7.4,7.0,Medium,No,4,6,Low,Excellent
129,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,82.4,8.9,3.6,Weekly,No,No,7.1,7.2,High,Yes,3,5,High,Excellent
130,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,84.5,9.9,2.8,Weekly,No,No,8.6,3.5,Medium,No,3,6,Medium,Excellent
131,22,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,73.4,9.1,5.1,Weekly,No,Yes,7.0,5.7,High,No,7,7,Medium,Excellent
132,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,91.8,9.1,2.6,Daily,No,Yes,7.4,7.0,Medium,No,6,5,High,Excellent
133,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,2,89.7,10.0,4.3,Rare,Yes,Yes,6.6,7.5,High,No,1,8,Medium,Excellent
134,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,66.8,7.9,1.6,Weekly,Yes,No,8.2,5.1,Medium,Yes,6,6,Medium,Good
135,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,65.2,10.0,5.0,Daily,No,Yes,6.5,2.9,High,No,5,9,High,Excellent
136,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,74.5,8.8,3.0,Weekly,Yes,Yes,9.0,6.8,Low,No,6,8,Medium,Excellent
137,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,76.0,8.5,3.4,Weekly,Yes,No,7.0,7.5,Low,Yes,6,7,Medium,Excellent
138,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,58.0,10.0,4.9,Daily,No,No,7.3,8.0,Medium,No,1,10,Medium,Excellent
139,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,67.6,8.9,4.4,Daily,Yes,No,5.9,4.8,Low,No,9,6,Medium,Excellent
140,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,4,83.0,9.4,3.7,Daily,Yes,Yes,7.4,10.8,High,Yes,5,6,Medium,Excellent
141,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,89.9,9.7,4.5,Daily,Yes,Yes,5.9,9.3,Medium,Yes,3,7,Medium,Excellent
142,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,81.3,9.0,4.0,Weekly,Yes,No,7.4,9.2,Medium,No,6,6,Low,Excellent
143,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,65.7,8.9,4.4,Weekly,Yes,No,7.7,5.4,Low,No,8,6,Medium,Excellent
144,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,78.2,7.3,1.9,Daily,Yes,No,5.6,9.2,Medium,Yes,4,4,Medium,Average
145,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,64.8,8.8,6.0,Rare,Yes,No,8.0,4.6,Low,Yes,10,8,High,Excellent
146,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,3,100.0,7.7,1.4,Rare,No,No,5.4,8.0,Medium,Yes,10,9,Medium,Good
147,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,3,86.5,9.4,4.6,Weekly,No,No,7.3,6.2,High,No,5,4,Medium,Excellent
148,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,77.0,7.7,2.0,Weekly,No,Yes,5.9,6.4,Low,No,8,8,Medium,Good
