State,District,Year,Crime_Type,Cases_Reported,Chargesheeted,Convictions,Population,Crime_Rate_per_100k
Uttar Pradesh,Lucknow,2019,Robbery,1057,959,465,6843158,15.45
Uttar Pradesh,Lucknow,2019,Assault,117,83,38,6843158,1.71
Uttar Pradesh,Lucknow,2019,Burglary,113,105,77,6843158,1.65
Uttar Pradesh,Lucknow,2019,Cybercrime,392,262,110,6843158,5.73
Uttar Pradesh,Lucknow,2019,Dowry Deaths,360,295,207,6843158,5.26
Uttar Pradesh,Lucknow,2019,Fraud,923,781,552,6843158,13.49
Uttar Pradesh,Lucknow,2020,Murder,510,377,207,6843158,7.45
Uttar Pradesh,Lucknow,2020,Rape,822,754,292,6843158,12.01
Uttar Pradesh,Lucknow,2020,Kidnapping,289,214,96,6843158,4.22
Uttar Pradesh,Lucknow,2020,Theft,1135,868,383,6843158,16.59
Uttar Pradesh,Lucknow,2020,Robbery,270,204,95,6843158,3.95
Uttar Pradesh,Lucknow,2020,Assault,590,400,293,6843158,8.62
Uttar Pradesh,Lucknow,2020,Burglary,926,606,244,6843158,13.53
Uttar Pradesh,Lucknow,2020,Cybercrime,152,142,61,6843158,2.22
Uttar Pradesh,Lucknow,2020,Dowry Deaths,557,425,208,6843158,8.14
Uttar Pradesh,Lucknow,2020,Fraud,69,63,43,6843158,1.01
Uttar Pradesh,Lucknow,2021,Murder,1037,949,614,6843158,15.15
Uttar Pradesh,Lucknow,2021,Rape,714,605,429,6843158,10.43
Uttar Pradesh,Lucknow,2021,Kidnapping,531,503,270,6843158,7.76
Uttar Pradesh,Lucknow,2021,Theft,877,601,426,6843158,12.82
Uttar Pradesh,Lucknow,2021,Robbery,670,501,295,6843158,9.79
Uttar Pradesh,Lucknow,2021,Assault,938,705,334,6843158,13.71
Uttar Pradesh,Lucknow,2021,Burglary,1140,920,689,6843158,16.66
Uttar Pradesh,Lucknow,2021,Cybercrime,400,379,147,6843158,5.85
Uttar Pradesh,Lucknow,2021,Dowry Deaths,655,432,294,6843158,9.57
Uttar Pradesh,Lucknow,2021,Fraud,653,461,207,6843158,9.54
Uttar Pradesh,Lucknow,2022,Murder,944,851,350,6843158,13.79
Uttar Pradesh,Lucknow,2022,Rape,1060,969,432,6843158,15.49
Uttar Pradesh,Lucknow,2022,Kidnapping,877,796,489,6843158,12.82
Uttar Pradesh,Lucknow,2022,Theft,492,373,237,6843158,7.19
Uttar Pradesh,Lucknow,2022,Robbery,657,588,343,6843158,9.6
Uttar Pradesh,Lucknow,2022,Assault,72,53,33,6843158,1.05
Uttar Pradesh,Lucknow,2022,Burglary,1043,739,531,6843158,15.24
Uttar Pradesh,Lucknow,2022,Cybercrime,244,160,59,6843158,3.57
Uttar Pradesh,Lucknow,2022,Dowry Deaths,189,124,48,6843158,2.76
Uttar Pradesh,Lucknow,2022,Fraud,301,205,145,6843158,4.4
Uttar Pradesh,Lucknow,2023,Murder,1100,744,333,6843158,16.07
Uttar Pradesh,Lucknow,2023,Rape,129,92,39,6843158,1.89
Uttar Pradesh,Lucknow,2023,Kidnapping,908,630,236,6843158,13.27
Uttar Pradesh,Lucknow,2023,Theft,569,499,207,6843158,8.31
Uttar Pradesh,Lucknow,2023,Robbery,420,357,224,6843158,6.14
Uttar Pradesh,Lucknow,2023,Assault,478,314,114,6843158,6.99
Uttar Pradesh,Lucknow,2023,Burglary,501,465,207,6843158,7.32
Uttar Pradesh,Lucknow,2023,Cybercrime,825,666,271,6843158,12.06
Uttar Pradesh,Lucknow,2023,Dowry Deaths,60,41,21,6843158,0.88
Uttar Pradesh,Lucknow,2023,Fraud,617,543,397,6843158,9.02
Uttar Pradesh,Kanpur Nagar,2014,Murder,24,20,13,4685861,0.51
Uttar Pradesh,Kanpur Nagar,2014,Rape,304,215,84,4685861,6.49
Uttar Pradesh,Kanpur Nagar,2014,Kidnapping,677,545,337,4685861,14.45
Uttar Pradesh,Kanpur Nagar,2014,Theft,65,51,29,4685861,1.39
Uttar Pradesh,Kanpur Nagar,2014,Robbery,1077,991,629,4685861,22.98
Uttar Pradesh,Kanpur Nagar,2014,Assault,716,475,203,4685861,15.28
Uttar Pradesh,Kanpur Nagar,2014,Burglary,585,493,316,4685861,12.48
Uttar Pradesh,Kanpur Nagar,2014,Cybercrime,455,301,167,4685861,9.71
Uttar Pradesh,Kanpur Nagar,2014,Dowry Deaths,909,766,410,4685861,19.4
Uttar Pradesh,Kanpur Nagar,2014,Fraud,948,708,425,4685861,20.23
Uttar Pradesh,Kanpur Nagar,2015,Murder,644,607,319,4685861,13.74
Uttar Pradesh,Kanpur Nagar,2015,Rape,290,232,133,4685861,6.19
Uttar Pradesh,Kanpur Nagar,2015,Kidnapping,1093,784,446,4685861,23.33
Uttar Pradesh,Kanpur Nagar,2015,Theft,829,570,355,4685861,17.69
Uttar Pradesh,Kanpur Nagar,2015,Robbery,1167,959,410,4685861,24.9
Uttar Pradesh,Kanpur Nagar,2015,Assault,817,575,237,4685861,17.44
Uttar Pradesh,Kanpur Nagar,2015,Burglary,834,776,425,4685861,17.8
Uttar Pradesh,Kanpur Nagar,2015,Cybercrime,550,464,277,4685861,11.74
Uttar Pradesh,Kanpur Nagar,2015,Dowry Deaths,832,751,467,4685861,17.76
Uttar Pradesh,Kanpur Nagar,2015,Fraud,397,319,206,4685861,8.47
Uttar Pradesh,Kanpur Nagar,2016,Murder,434,399,175,4685861,9.26
Uttar Pradesh,Kanpur Nagar,2016,Rape,1047,740,474,4685861,22.34
Uttar Pradesh,Kanpur Nagar,2016,Kidnapping,26,19,11,4685861,0.55
Uttar Pradesh,Kanpur Nagar,2016,Theft,859,676,390,4685861,18.33
Uttar Pradesh,Kanpur Nagar,2016,Robbery,965,889,573,4685861,20.59
Uttar Pradesh,Kanpur Nagar,2016,Assault,425,346,178,4685861,9.07
Uttar Pradesh,Kanpur Nagar,2016,Burglary,1155,760,507,4685861,24.65
Uttar Pradesh,Kanpur Nagar,2016,Cybercrime,540,399,292,4685861,11.52
Uttar Pradesh,Kanpur Nagar,2016,Dowry Deaths,765,609,258,4685861,16.33
Uttar Pradesh,Kanpur Nagar,2016,Fraud,939,766,569,4685861,20.04
Uttar Pradesh,Kanpur Nagar,2017,Murder,224,203,93,4685861,4.78
Uttar Pradesh,Kanpur Nagar,2017,Rape,770,540,241,4685861,16.43
Uttar Pradesh,Kanpur Nagar,2017,Kidnapping,131,100,49,4685861,2.8
Uttar Pradesh,Kanpur Nagar,2017,Theft,329,310,134,4685861,7.02
Uttar Pradesh,Kanpur Nagar,2017,Robbery,137,119,57,4685861,2.92
Uttar Pradesh,Kanpur Nagar,2017,Assault,922,761,557,4685861,19.68
Uttar Pradesh,Kanpur Nagar,2017,Burglary,936,856,387,4685861,19.97
Uttar Pradesh,Kanpur Nagar,2017,Cybercrime,661,490,177,4685861,14.11
Uttar Pradesh,Kanpur Nagar,2017,Dowry Deaths,947,882,316,4685861,20.21
Uttar Pradesh,Kanpur Nagar,2017,Fraud,847,790,384,4685861,18.08
Uttar Pradesh,Kanpur Nagar,2018,Murder,92,80,37,4685861,1.96
Uttar Pradesh,Kanpur Nagar,2018,Rape,59,53,34,4685861,1.26
Uttar Pradesh,Kanpur Nagar,2018,Kidnapping,611,551,346,4685861,13.04
Uttar Pradesh,Kanpur Nagar,2018,Theft,366,279,176,4685861,7.81
Uttar Pradesh,Kanpur Nagar,2018,Robbery,353,261,126,4685861,7.53
Uttar Pradesh,Kanpur Nagar,2018,Assault,801,626,322,4685861,17.09
Uttar Pradesh,Kanpur Nagar,2018,Burglary,167,118,61,4685861,3.56
Uttar Pradesh,Kanpur Nagar,2018,Cybercrime,494,359,142,4685861,10.54
Uttar Pradesh,Kanpur Nagar,2018,Dowry Deaths,1033,781,438,4685861,22.05
Uttar Pradesh,Kanpur Nagar,2018,Fraud,116,98,62,4685861,2.48
Uttar Pradesh,Kanpur Nagar,2019,Murder,633,544,292,4685861,13.51
Uttar Pradesh,Kanpur Nagar,2019,Rape,393,317,117,4685861,8.39
Uttar Pradesh,Kanpur Nagar,2019,Kidnapping,321,271,171,4685861,6.85
Uttar Pradesh,Kanpur Nagar,2019,Theft,1060,988,638,4685861,22.62
Uttar Pradesh,Kanpur Nagar,2019,Robbery,675,545,258,4685861,14.41
Uttar Pradesh,Kanpur Nagar,2019,Assault,765,707,519,4685861,16.33
Uttar Pradesh,Kanpur Nagar,2019,Burglary,964,810,539,4685861,20.57
Uttar Pradesh,Kanpur Nagar,2019,Cybercrime,379,253,147,4685861,8.09
Uttar Pradesh,Kanpur Nagar,2019,Dowry Deaths,772,680,366,4685861,16.48
Uttar Pradesh,Kanpur Nagar,2019,Fraud,248,198,104,4685861,5.29
Uttar Pradesh,Kanpur Nagar,2020,Murder,951,773,301,4685861,20.3
Uttar Pradesh,Kanpur Nagar,2020,Rape,983,872,545,4685861,20.98
Uttar Pradesh,Kanpur Nagar,2020,Kidnapping,449,338,179,4685861,9.58
Uttar Pradesh,Kanpur Nagar,2020,Theft,40,33,18,4685861,0.85
Uttar Pradesh,Kanpur Nagar,2020,Robbery,692,549,326,4685861,14.77
Uttar Pradesh,Kanpur Nagar,2020,Assault,1047,884,415,4685861,22.34
Uttar Pradesh,Kanpur Nagar,2020,Burglary,628,499,236,4685861,13.4
Uttar Pradesh,Kanpur Nagar,2020,Cybercrime,1088,899,390,4685861,23.22
Uttar Pradesh,Kanpur Nagar,2020,Dowry Deaths,820,715,531,4685861,17.5
Uttar Pradesh,Kanpur Nagar,2020,Fraud,913,786,409,4685861,19.48
Uttar Pradesh,Kanpur Nagar,2021,Murder,1183,971,356,4685861,25.25
Uttar Pradesh,Kanpur Nagar,2021,Rape,795,600,363,4685861,16.97
Uttar Pradesh,Kanpur Nagar,2021,Kidnapping,263,224,83,4685861,5.61
Uttar Pradesh,Kanpur Nagar,2021,Theft,569,477,208,4685861,12.14
Uttar Pradesh,Kanpur Nagar,2021,Robbery,578,449,206,4685861,12.33
Uttar Pradesh,Kanpur Nagar,2021,Assault,890,673,285,4685861,18.99
Uttar Pradesh,Kanpur Nagar,2021,Burglary,921,722,309,4685861,19.65
Uttar Pradesh,Kanpur Nagar,2021,Cybercrime,265,244,87,4685861,5.66
Uttar Pradesh,Kanpur Nagar,2021,Dowry Deaths,641,491,258,4685861,13.68
Uttar Pradesh,Kanpur Nagar,2021,Fraud,1029,806,470,4685861,21.96
Uttar Pradesh,Kanpur Nagar,2022,Murder,487,386,168,4685861,10.39
Uttar Pradesh,Kanpur Nagar,2022,Rape,605,527,266,4685861,12.91
Uttar Pradesh,Kanpur Nagar,2022,Kidnapping,601,506,321,4685861,12.83
Uttar Pradesh,Kanpur Nagar,2022,Theft,308,286,126,4685861,6.57
Uttar Pradesh,Kanpur Nagar,2022,Robbery,814,711,445,4685861,17.37
Uttar Pradesh,Kanpur Nagar,2022,Assault,1160,876,308,4685861,24.76
Uttar Pradesh,Kanpur Nagar,2022,Burglary,1080,762,446,4685861,23.05
Uttar Pradesh,Kanpur Nagar,2022,Cybercrime,186,170,122,4685861,3.97
Uttar Pradesh,Kanpur Nagar,2022,Dowry Deaths,430,346,253,4685861,9.18
Uttar Pradesh,Kanpur Nagar,2022,Fraud,842,647,240,4685861,17.97
Uttar Pradesh,Kanpur Nagar,2023,Murder,1130,774,573,4685861,24.12
Uttar Pradesh,Kanpur Nagar,2023,Rape,428,303,196,4685861,9.13
Uttar Pradesh,Kanpur Nagar,2023,Kidnapping,417,282,162,4685861,8.9
Uttar Pradesh,Kanpur Nagar,2023,Theft,717,570,212,4685861,15.3
Uttar Pradesh,Kanpur Nagar,2023,Robbery,126,83,32,4685861,2.69
Uttar Pradesh,Kanpur Nagar,2023,Assault,1044,680,293,4685861,22.28
Uttar Pradesh,Kanpur Nagar,2023,Burglary,974,877,556,4685861,20.79
Uttar Pradesh,Kanpur Nagar,2023,Cybercrime,525,452,300,4685861,11.2
Uttar Pradesh,Kanpur Nagar,2023,Dowry Deaths,391,312,210,4685861,8.34
Uttar Pradesh,Kanpur Nagar,2023,Fraud,941,678,337,4685861,20.08
Uttar Pradesh,Varanasi,2014,Murder,874,700,303,2157960,40.5
Uttar Pradesh,Varanasi,2014,Rape,809,551,276,2157960,37.49
Uttar Pradesh,Varanasi,2014,Kidnapping,1051,856,572,2157960,48.7
Uttar Pradesh,Varanasi,2014,Theft,794,696,495,2157960,36.79
Uttar Pradesh,Varanasi,2014,Robbery,626,421,224,2157960,29.01
Uttar Pradesh,Varanasi,2014,Assault,819,668,401,2157960,37.95
Uttar Pradesh,Varanasi,2014,Burglary,878,699,521,2157960,40.69
Uttar Pradesh,Varanasi,2014,Cybercrime,536,405,155,2157960,24.84
Uttar Pradesh,Varanasi,2014,Dowry Deaths,741,611,221,2157960,34.34
Uttar Pradesh,Varanasi,2014,Fraud,377,312,159,2157960,17.47
Uttar Pradesh,Varanasi,2015,Murder,837,632,262,2157960,38.79
Uttar Pradesh,Varanasi,2015,Rape,1098,875,420,2157960,50.88
Uttar Pradesh,Varanasi,2015,Kidnapping,112,102,60,2157960,5.19
Uttar Pradesh,Varanasi,2015,Theft,684,515,362,2157960,31.7
Uttar Pradesh,Varanasi,2015,Robbery,729,603,281,2157960,33.78
Uttar Pradesh,Varanasi,2015,Assault,583,403,147,2157960,27.02
Uttar Pradesh,Varanasi,2015,Burglary,327,235,107,2157960,15.15
Uttar Pradesh,Varanasi,2015,Cybercrime,102,88,38,2157960,4.73
Uttar Pradesh,Varanasi,2015,Dowry Deaths,367,338,206,2157960,17.01
Uttar Pradesh,Varanasi,2015,Fraud,893,789,280,2157960,41.38
Uttar Pradesh,Varanasi,2016,Murder,326,271,148,2157960,15.11
Uttar Pradesh,Varanasi,2016,Rape,850,641,259,2157960,39.39
Uttar Pradesh,Varanasi,2016,Kidnapping,64,57,36,2157960,2.97
Uttar Pradesh,Varanasi,2016,Theft,599,465,244,2157960,27.76
Uttar Pradesh,Varanasi,2016,Robbery,677,574,353,2157960,31.37
Uttar Pradesh,Varanasi,2016,Assault,314,263,172,2157960,14.55
Uttar Pradesh,Varanasi,2016,Burglary,128,115,59,2157960,5.93
Uttar Pradesh,Varanasi,2016,Cybercrime,605,548,318,2157960,28.04
Uttar Pradesh,Varanasi,2016,Dowry Deaths,696,652,424,2157960,32.25
Uttar Pradesh,Varanasi,2016,Fraud,898,607,322,2157960,41.61
Uttar Pradesh,Varanasi,2017,Murder,379,254,166,2157960,17.56
Uttar Pradesh,Varanasi,2017,Rape,190,143,85,2157960,8.8
Uttar Pradesh,Varanasi,2017,Kidnapping,1197,1074,559,2157960,55.47
Uttar Pradesh,Varanasi,2017,Theft,1129,771,503,2157960,52.32
Uttar Pradesh,Varanasi,2017,Robbery,863,756,287,2157960,39.99
Uttar Pradesh,Varanasi,2017,Assault,1019,828,470,2157960,47.22
Uttar Pradesh,Varanasi,2017,Burglary,834,784,456,2157960,38.65
Uttar Pradesh,Varanasi,2017,Cybercrime,1155,980,492,2157960,53.52
Uttar Pradesh,Varanasi,2017,Dowry Deaths,860,809,593,2157960,39.85
Uttar Pradesh,Varanasi,2017,Fraud,600,410,168,2157960,27.8
Uttar Pradesh,Varanasi,2018,Murder,646,437,301,2157960,29.94
Uttar Pradesh,Varanasi,2018,Rape,27,21,8,2157960,1.25
Uttar Pradesh,Varanasi,2018,Kidnapping,692,509,243,2157960,32.07
Uttar Pradesh,Varanasi,2018,Theft,82,63,37,2157960,3.8
Uttar Pradesh,Varanasi,2018,Robbery,1162,933,682,2157960,53.85
Uttar Pradesh,Varanasi,2018,Assault,558,401,270,2157960,25.86
Uttar Pradesh,Varanasi,2018,Burglary,88,79,42,2157960,4.08
Uttar Pradesh,Varanasi,2018,Cybercrime,735,677,348,2157960,34.06
Uttar Pradesh,Varanasi,2018,Dowry Deaths,966,881,603,2157960,44.76
Uttar Pradesh,Varanasi,2018,Fraud,473,391,245,2157960,21.92
Uttar Pradesh,Varanasi,2019,Murder,1104,810,310,2157960,51.16
Uttar Pradesh,Varanasi,2019,Rape,367,246,133,2157960,17.01
Uttar Pradesh,Varanasi,2019,Kidnapping,764,594,416,2157960,35.4
Uttar Pradesh,Varanasi,2019,Theft,980,796,311,2157960,45.41
Uttar Pradesh,Varanasi,2019,Robbery,919,663,278,2157960,42.59
Uttar Pradesh,Varanasi,2019,Assault,301,269,189,2157960,13.95
Uttar Pradesh,Varanasi,2019,Burglary,1136,751,416,2157960,52.64
Uttar Pradesh,Varanasi,2019,Cybercrime,385,333,213,2157960,17.84
Uttar Pradesh,Varanasi,2019,Dowry Deaths,164,136,73,2157960,7.6
Uttar Pradesh,Varanasi,2019,Fraud,924,738,517,2157960,42.82
Uttar Pradesh,Varanasi,2020,Murder,170,149,73,2157960,7.88
Uttar Pradesh,Varanasi,2020,Rape,725,496,345,2157960,33.6
Uttar Pradesh,Varanasi,2020,Kidnapping,330,308,140,2157960,15.29
Uttar Pradesh,Varanasi,2020,Theft,500,387,261,2157960,23.17
Uttar Pradesh,Varanasi,2020,Robbery,513,400,287,2157960,23.77
Uttar Pradesh,Varanasi,2020,Assault,149,109,43,2157960,6.9
Uttar Pradesh,Varanasi,2020,Burglary,919,805,297,2157960,42.59
Uttar Pradesh,Varanasi,2020,Cybercrime,315,229,120,2157960,14.6
Uttar Pradesh,Varanasi,2020,Dowry Deaths,1016,724,371,2157960,47.08
Uttar Pradesh,Varanasi,2020,Fraud,93,76,27,2157960,4.31
Uttar Pradesh,Varanasi,2021,Murder,373,347,245,2157960,17.28
Uttar Pradesh,Varanasi,2021,Rape,162,108,72,2157960,7.51
Uttar Pradesh,Varanasi,2021,Kidnapping,361,289,213,2157960,16.73
Uttar Pradesh,Varanasi,2021,Theft,203,180,63,2157960,9.41
Uttar Pradesh,Varanasi,2021,Robbery,335,304,152,2157960,15.52
Uttar Pradesh,Varanasi,2021,Assault,630,552,381,2157960,29.19
Uttar Pradesh,Varanasi,2021,Burglary,934,854,341,2157960,43.28
Uttar Pradesh,Varanasi,2021,Cybercrime,105,97,48,2157960,4.87
Uttar Pradesh,Varanasi,2021,Dowry Deaths,343,228,155,2157960,15.89
Uttar Pradesh,Varanasi,2021,Fraud,545,398,294,2157960,25.26
Uttar Pradesh,Varanasi,2022,Murder,121,91,66,2157960,5.61
Uttar Pradesh,Varanasi,2022,Rape,403,331,162,2157960,18.68
Uttar Pradesh,Varanasi,2022,Kidnapping,162,107,50,2157960,7.51
Uttar Pradesh,Varanasi,2022,Theft,959,863,489,2157960,44.44
Uttar Pradesh,Varanasi,2022,Robbery,1200,1039,439,2157960,55.61
Uttar Pradesh,Varanasi,2022,Assault,461,433,241,2157960,21.36
Uttar Pradesh,Varanasi,2022,Burglary,206,152,102,2157960,9.55
Uttar Pradesh,Varanasi,2022,Cybercrime,431,289,127,2157960,19.97
Uttar Pradesh,Varanasi,2022,Dowry Deaths,613,460,263,2157960,28.41
Uttar Pradesh,Varanasi,2022,Fraud,702,535,386,2157960,32.53
Uttar Pradesh,Varanasi,2023,Murder,45,40,27,2157960,2.09
Uttar Pradesh,Varanasi,2023,Rape,282,246,131,2157960,13.07
Uttar Pradesh,Varanasi,2023,Kidnapping,792,694,270,2157960,36.7
Uttar Pradesh,Varanasi,2023,Theft,1183,892,458,2157960,54.82
Uttar Pradesh,Varanasi,2023,Robbery,319,296,199,2157960,14.78
Uttar Pradesh,Varanasi,2023,Assault,693,595,264,2157960,32.11
Uttar Pradesh,Varanasi,2023,Burglary,443,289,105,2157960,20.53
Uttar Pradesh,Varanasi,2023,Cybercrime,497,336,176,2157960,23.03
Uttar Pradesh,Varanasi,2023,Dowry Deaths,245,223,131,2157960,11.35
Uttar Pradesh,Varanasi,2023,Fraud,348,301,136,2157960,16.13
Uttar Pradesh,Agra,2014,Murder,274,243,133,4040904,6.78
Uttar Pradesh,Agra,2014,Rape,863,575,234,4040904,21.36
Uttar Pradesh,Agra,2014,Kidnapping,878,728,460,4040904,21.73
Uttar Pradesh,Agra,2014,Theft,103,84,37,4040904,2.55
Uttar Pradesh,Agra,2014,Robbery,275,211,143,4040904,6.81
Uttar Pradesh,Agra,2014,Assault,255,241,166,4040904,6.31
Uttar Pradesh,Agra,2014,Burglary,84,78,50,4040904,2.08
Uttar Pradesh,Agra,2014,Cybercrime,898,724,346,4040904,22.22
Uttar Pradesh,Agra,2014,Dowry Deaths,785,712,406,4040904,19.43
Uttar Pradesh,Agra,2014,Fraud,1056,785,453,4040904,26.13
Uttar Pradesh,Agra,2015,Murder,782,716,301,4040904,19.35
Uttar Pradesh,Agra,2015,Rape,816,742,412,4040904,20.19
Uttar Pradesh,Agra,2015,Kidnapping,959,767,425,4040904,23.73
Uttar Pradesh,Agra,2015,Theft,678,587,286,4040904,16.78
Uttar Pradesh,Agra,2015,Robbery,337,227,111,4040904,8.34
Uttar Pradesh,Agra,2015,Assault,589,552,327,4040904,14.58
Uttar Pradesh,Agra,2015,Burglary,131,123,49,4040904,3.24
Uttar Pradesh,Agra,2015,Cybercrime,641,466,200,4040904,15.86
Uttar Pradesh,Agra,2015,Dowry Deaths,1011,668,491,4040904,25.02
Uttar Pradesh,Agra,2015,Fraud,351,236,127,4040904,8.69
Uttar Pradesh,Agra,2016,Murder,354,273,95,4040904,8.76
Uttar Pradesh,Agra,2016,Rape,72,50,24,4040904,1.78
Uttar Pradesh,Agra,2016,Kidnapping,650,535,251,4040904,16.09
Uttar Pradesh,Agra,2016,Theft,800,647,368,4040904,19.8
Uttar Pradesh,Agra,2016,Robbery,963,825,475,4040904,23.83
Uttar Pradesh,Agra,2016,Assault,240,163,95,4040904,5.94
Uttar Pradesh,Agra,2016,Burglary,180,127,51,4040904,4.45
Uttar Pradesh,Agra,2016,Cybercrime,372,294,211,4040904,9.21
Uttar Pradesh,Agra,2016,Dowry Deaths,994,893,514,4040904,24.6
Uttar Pradesh,Agra,2016,Fraud,1120,811,287,4040904,27.72
Uttar Pradesh,Agra,2017,Murder,1147,755,391,4040904,28.38
Uttar Pradesh,Agra,2017,Rape,39,29,11,4040904,0.97
Uttar Pradesh,Agra,2017,Kidnapping,941,719,358,4040904,23.29
Uttar Pradesh,Agra,2017,Theft,479,395,156,4040904,11.85
Uttar Pradesh,Agra,2017,Robbery,944,883,517,4040904,23.36
Uttar Pradesh,Agra,2017,Assault,756,562,236,4040904,18.71
Uttar Pradesh,Agra,2017,Burglary,1001,802,459,4040904,24.77
Uttar Pradesh,Agra,2017,Cybercrime,208,135,88,4040904,5.15
Uttar Pradesh,Agra,2017,Dowry Deaths,706,593,360,4040904,17.47
Uttar Pradesh,Agra,2017,Fraud,552,448,201,4040904,13.66
Uttar Pradesh,Agra,2018,Murder,616,490,173,4040904,15.24
Uttar Pradesh,Agra,2018,Rape,1188,944,413,4040904,29.4
Uttar Pradesh,Agra,2018,Kidnapping,215,181,92,4040904,5.32
Uttar Pradesh,Agra,2018,Theft,770,627,422,4040904,19.06
Uttar Pradesh,Agra,2018,Robbery,266,189,129,4040904,6.58
Uttar Pradesh,Agra,2018,Assault,1009,764,324,4040904,24.97
Uttar Pradesh,Agra,2018,Burglary,868,681,498,4040904,21.48
Uttar Pradesh,Agra,2018,Cybercrime,910,772,452,4040904,22.52
Uttar Pradesh,Agra,2018,Dowry Deaths,162,132,53,4040904,4.01
Uttar Pradesh,Agra,2018,Fraud,643,482,199,4040904,15.91
Uttar Pradesh,Agra,2019,Murder,866,808,490,4040904,21.43
Uttar Pradesh,Agra,2019,Rape,373,291,134,4040904,9.23
